Preguntas;Alternativa a;Alternativa b;Alternativa c;Alternativa d;Respuesta
¿En qué año inició la Reforma Protestante?;1605;1517;1532;1455;1517
¿Quién inició la Reforma Protestante?;Cristóbal Colón;Leonardo da Vinci;Martín Lutero;René Descartes;Martín Lutero
¿En qué año murió Martín Lutero?;1546;1500;1605;1515;1546
¿Por qué Martín Lutero ingresó al monasterio?;Quería ser santo;Le gustaba estudiar la Biblia;Hizo una promesa a una santa;Sus papás le obligaron;Hizo una promesa a una santa
¿En qué país tuvo sus inicios la Reforma Protestante?;Perú;España;Alemania;Inglaterra;Alemania
¿Cuál fue el tema central por el cual se dió la Reforma?;La iglesia;Los papas;La santificación;La justificación;La santificación
¿Qué fuentes de revelación especial considera la iglesia católica romana?;La iglesia;Los santos;La costumbre;Ninguna de las alternativas;Ninguna de las alternativas
De los siguientes lemas, uno fue parte de la batalla de la Reforma, ¿cuál es?;Post Tenebras Lux;Sola Scriptura;Sola Gratia;Coram Deo;Sola Scriptura
¿Quién dijo: Puedes quemar este ganso, si así lo quieren, pero vendrá después de mí un cisne, a quien no podrán silenciar?;Juan Huss;Juan Calvino;Martín Lutero;John Knox;Juan Huss
¿Cuántas tesis clavó Lutero en la iglesia de Todos los Santos de Wittenberg?;85 tesis;95 tesis;90 tesis;93 tesis;95 tesis
